City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,San Luis,AR,72.84,broken clouds,-33.295,-66.3356,Hotel Dos Venados
340,Kapit,MY,88.38,overcast clouds,2.0167,112.9333,Haip
347,Yaan,NG,77.99,broken clouds,7.3833,8.5667,No hotel found
352,Bontang,ID,79.57,light rain,0.1333,117.5,Hotel Sederhana
354,Sulangan,PH,80.73,clear sky,11.1373,123.7228,Marion's Inn
356,Koungou,YT,78.51,broken clouds,-12.7336,45.2042,Hôtel Trévani
359,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Forum
364,Nidadavole,IN,84.51,scattered clouds,16.9167,81.6667,No hotel found
365,Jerantut,MY,87.67,overcast clouds,3.936,102.3626,Jarentut Hill Hotel
366,Port-Gentil,GA,80.11,scattered clouds,-0.7193,8.7815,Tara-Mé
367,Mangrol,IN,73.58,overcast clouds,21.1167,70.1167,No hotel found
370,Churachandpur,IN,76.46,overcast clouds,24.3333,93.6667,FSW IB.Road
371,Cidreira,BR,74.23,clear sky,-30.1811,-50.2056,Hotel Castelo
376,West Bay,KY,78.01,clear sky,19.3667,-81.4167,Bonnie's Arch
379,Lashio,MM,81.19,clear sky,22.9333,97.75,Golden Kaniri Hotel
382,Dangriga,BZ,76.15,light rain,16.9692,-88.2321,Weyohan Hotel
394,Moranbah,AU,88.57,overcast clouds,-22.0016,148.0466,No hotel found
395,Mayor Pablo Lagerenza,PY,72.0,overcast clouds,-19.9309,-60.7718,No hotel found
400,Moyale,KE,71.4,clear sky,3.5167,39.0584,Nicest
404,Saint-Leu,RE,81.43,broken clouds,-21.15,55.2833,Iloha Seaview Hôtel
405,Ixtapa,MX,71.22,clear sky,20.7,-105.2,No hotel found
407,Katobu,ID,87.76,overcast clouds,-4.9408,122.5276,No hotel found
408,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
410,Kirakira,SB,83.75,overcast clouds,-10.4544,161.9205,No hotel found
416,Dumai,ID,79.34,overcast clouds,1.6833,101.45,Comfort Hotel
417,Dzilam Gonzalez,MX,71.62,broken clouds,21.2833,-88.9333,No hotel found
418,Cooma,AU,79.41,clear sky,-36.2333,149.1333,Royal Hotel
419,Sinnamary,GF,74.16,overcast clouds,5.3833,-52.95,Hôtel du fleuve
420,Inirida,CO,72.61,scattered clouds,3.8653,-67.9239,Residencias El Turista del Guainia
421,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,No hotel found
422,Jaru,BR,70.23,overcast clouds,-10.4389,-62.4664,Hotel avenida
430,Caravelas,BR,74.16,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
432,Itoman,JP,73.42,few clouds,26.1247,127.6694,No hotel found
435,Nong Chik,TH,80.62,overcast clouds,6.8436,101.178,Southern View
436,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
437,Mecca,SA,70.03,scattered clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
438,Bonthe,SL,74.75,clear sky,7.5264,-12.505,No hotel found
441,Dunmore Town,BS,75.15,clear sky,25.5,-76.65,The Landing Hotel & Restaurant
445,Bocas Del Toro,PA,75.54,light rain,9.3333,-82.25,B&B Surfari
446,Bandarbeyla,SO,76.62,clear sky,9.4942,50.8122,No hotel found
452,Garissa,KE,76.51,clear sky,-0.4536,39.6401,Hiddig Hotel
456,Road Town,VG,75.29,clear sky,18.4167,-64.6167,No hotel found
457,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
464,Sao Gabriel Da Cachoeira,BR,70.18,broken clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
465,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
467,Kamakhyanagar,IN,85.69,scattered clouds,20.9333,85.55,No hotel found
471,Grand Gaube,MU,82.8,overcast clouds,-20.0064,57.6608,Coco Villa
472,Jinka,ET,71.04,few clouds,5.65,36.65,No hotel found
474,Tautira,PF,80.74,light rain,-17.7333,-149.15,No hotel found
478,Madang,PG,83.23,overcast clouds,-5.2246,145.7966,Madang Star International
480,Dhidhdhoo,MV,80.11,overcast clouds,6.8833,73.1,No hotel found
492,Canavieiras,BR,73.51,clear sky,-15.675,-38.9472,No hotel found
495,Pasighat,IN,79.84,scattered clouds,28.0667,95.3333,Aane Hotel
498,Mahibadhoo,MV,80.56,overcast clouds,3.7833,72.9667,Coral View Inn
500,Numan,NG,75.45,overcast clouds,9.4667,12.0333,No hotel found
501,Vao,NC,79.47,overcast clouds,-22.6667,167.4833,Nataiwatch
503,Pauini,BR,70.57,overcast clouds,-7.7136,-66.9764,No hotel found
504,Sola,VU,82.08,overcast clouds,-13.8833,167.55,No hotel found
505,Paciran,ID,82.98,overcast clouds,-6.8767,112.3761,No hotel found
506,Namatanai,PG,83.1,moderate rain,-3.6667,152.4333,Namatanai Hotel
507,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,No hotel found
515,Tual,ID,83.12,overcast clouds,-5.6667,132.75,Suita
516,Ban Nahin,LA,88.86,few clouds,18.2418,104.2122,No hotel found
520,Ipanguacu,BR,76.77,broken clouds,-5.4983,-36.855,No hotel found
521,Balabac,PH,81.95,scattered clouds,7.9868,117.0645,No hotel found
524,Salem,IN,79.0,haze,11.65,78.1667,Lama Hotel
525,Kingston,JM,77.95,few clouds,17.997,-76.7936,Aphrodite Hotel
531,Lazaro Cardenas,MX,72.46,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
532,Upata,VE,71.19,scattered clouds,8.0086,-62.3989,Hotel Garibardi
533,Moron,AR,76.96,broken clouds,-34.6534,-58.6198,La Esquina
542,Alenquer,BR,72.07,overcast clouds,-1.9417,-54.7383,No hotel found
543,Panguna,PG,76.23,moderate rain,-6.3164,155.4848,No hotel found
549,Tema,GH,79.21,clear sky,5.667,-0.0166,Macbaron
551,Buala,SB,83.35,overcast clouds,-8.145,159.5921,No hotel found
552,Mildura,AU,82.08,clear sky,-34.2,142.15,Chaffey Motor Inn
554,Pedernales,DO,75.42,clear sky,18.0384,-71.744,Hostal Doña Chava
558,La Fria,VE,73.51,overcast clouds,8.2203,-72.2439,Hotel Nuestra Señora de Coromoto
559,Ellisras,ZA,70.86,overcast clouds,-23.6649,27.7443,GPS Hotel
561,Bucerias,MX,71.98,clear sky,20.75,-105.3333,Royal Decameron Complex
562,Cordoba,AR,79.75,clear sky,-31.4135,-64.1811,Hotel Garden
563,Gombong,ID,87.67,overcast clouds,-7.6072,109.5142,Permata Hotel
564,Puerto Carreno,CO,75.27,clear sky,6.189,-67.4859,Carreño Plaza
568,Doka,SD,74.52,few clouds,13.5167,35.7667,No hotel found
569,Buin,CL,74.12,clear sky,-33.7333,-70.75,No hotel found
570,Falam,MM,76.53,clear sky,22.9167,93.6833,No hotel found
572,Namibe,AO,71.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
577,Kabanjahe,ID,75.54,broken clouds,3.1001,98.4908,Guesthouse Simole
578,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,No hotel found
582,Hirara,JP,75.06,broken clouds,24.8,125.2833,古謝そば屋
584,Sumbe,AO,77.2,overcast clouds,-11.2061,13.8437,No hotel found
590,Lao Cai,VN,77.79,clear sky,22.4833,103.95,Bảo Son Hotel
591,Oistins,BB,73.49,few clouds,13.0667,-59.5333,The Abidah By Accra
598,Samarai,PG,84.61,overcast clouds,-10.6167,150.6667,No hotel found
603,Huarmey,PE,71.6,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
604,Mineros,BO,70.86,overcast clouds,-17.1167,-63.2333,No hotel found
608,Tsaratanana,MG,79.21,scattered clouds,-16.7833,47.65,No hotel found
609,Manoel Urbano,BR,71.91,overcast clouds,-8.8389,-69.2597,No hotel found
610,Alampur,IN,81.54,overcast clouds,15.8833,78.15,Haritha hotel
615,Puebloviejo,CO,82.58,few clouds,10.9938,-74.2844,No hotel found
616,Maragogi,BR,76.84,light rain,-9.0122,-35.2225,Pousada Mariluz
628,Nago,JP,73.45,scattered clouds,26.5881,127.9761,白浜
630,Harper,LR,78.35,broken clouds,4.375,-7.7169,No hotel found
631,Honiara,SB,83.86,broken clouds,-9.4333,159.95,King Solomon Hotel
634,Richards Bay,ZA,74.82,overcast clouds,-28.783,32.0377,Protea Hotel
639,Kyela,TZ,72.39,light rain,-9.5833,33.85,Katumba Hotel
641,Maningrida,AU,87.78,overcast clouds,-12.0667,134.2667,No hotel found
