City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
40,Tateyama,JP,34.9833,139.8667,58.1,50,75,17.27,broken clouds
41,Nuuk,GL,64.1835,-51.7216,4.26,88,100,14.0,overcast clouds
42,Bluff,NZ,-46.6,168.3333,61.99,90,100,10.18,overcast clouds
43,Isangel,VU,-19.55,169.2667,82.62,74,100,3.78,overcast clouds
44,Verkh-Usugli,RU,52.7,115.1667,7.12,59,2,4.88,clear sky
45,Baoqing,CN,46.3317,132.2111,11.53,80,100,14.0,overcast clouds
46,Oktyabrskiy,RU,54.4815,53.471,3.78,96,38,5.75,scattered clouds
47,Port Elizabeth,ZA,-33.918,25.5701,70.32,99,0,8.05,clear sky
48,Bangarapet,IN,12.9667,78.2,77.05,34,86,12.21,overcast clouds
49,Albany,US,42.6001,-73.9662,19.58,63,98,2.93,overcast clouds
50,Vaini,TO,-21.2,-175.2,82.56,83,75,9.22,light rain
51,Butaritari,KI,3.0707,172.7902,80.35,79,91,17.94,light rain
52,Kapaa,US,22.0752,-159.319,76.98,88,40,9.22,scattered clouds
53,Longyearbyen,SJ,78.2186,15.6401,15.64,62,40,11.5,scattered clouds
54,Providencia,MX,28.7167,-111.5833,52.41,73,0,8.55,clear sky
55,Kokopo,PG,-4.352,152.2633,83.95,69,98,11.1,light rain
56,Pochutla,MX,15.7432,-96.4661,75.02,75,1,3.83,clear sky
57,Vaasa,FI,63.096,21.6158,24.82,93,100,2.3,fog
58,Virginia Beach,US,36.8529,-75.978,45.01,90,100,11.5,overcast clouds
59,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.27,88,39,16.84,scattered clouds
60,Port Alfred,ZA,-33.5906,26.891,75.09,73,3,5.84,clear sky
61,Severo-Kurilsk,RU,50.6789,156.125,25.11,58,64,4.79,broken clouds
62,Kamaishi,JP,39.2667,141.8833,44.2,57,82,21.23,broken clouds
63,Ancud,CL,-41.8697,-73.8203,48.61,88,0,2.82,clear sky
64,Bubaque,GW,11.2833,-15.8333,76.91,53,13,13.29,few clouds
65,Lompoc,US,34.6391,-120.4579,47.59,87,0,1.01,clear sky
66,Shingu,JP,33.7333,135.9833,57.87,52,100,13.4,overcast clouds
67,Marawi,PH,7.9986,124.2928,79.74,74,41,7.29,scattered clouds
68,Hilo,US,19.7297,-155.09,76.28,89,40,4.61,scattered clouds
69,Tazovskiy,RU,67.4667,78.7,8.17,95,100,17.67,light snow
70,Magole,TZ,-6.3667,37.3667,73.11,74,27,1.72,scattered clouds
71,Saldanha,ZA,-33.0117,17.9442,59.05,91,0,10.92,clear sky
72,Orhei,MD,47.3831,28.8231,29.79,89,65,4.07,broken clouds
73,Cayenne,GF,4.9333,-52.3333,73.44,100,100,0.0,mist
74,Tam Ky,VN,15.5667,108.4833,76.5,73,100,6.31,overcast clouds
75,Provideniya,RU,64.3833,-173.3,24.91,100,100,2.24,fog
76,Chunhuhub,MX,19.55,-88.6833,67.24,99,42,2.3,scattered clouds
77,Muisne,EC,0.6,-80.0333,75.83,88,37,3.51,scattered clouds
78,Winnemucca,US,40.973,-117.7357,24.93,65,90,3.42,overcast clouds
79,Krasnyye Barrikady,RU,46.2045,47.8535,15.76,86,40,6.71,mist
80,Ambilobe,MG,-13.2,49.05,80.53,82,62,1.21,broken clouds
81,Itarema,BR,-2.9248,-39.9167,76.87,90,48,10.89,scattered clouds
82,Abapo,BO,-18.8333,-63.4667,61.56,96,100,3.31,overcast clouds
83,Hobart,AU,-42.8794,147.3294,69.26,51,40,12.66,scattered clouds
84,New Norfolk,AU,-42.7826,147.0587,68.92,37,54,5.99,broken clouds
85,Vanimo,PG,-2.6741,141.3028,83.59,73,95,5.66,overcast clouds
86,Bredasdorp,ZA,-34.5322,20.0403,67.03,88,9,4.85,clear sky
87,Karakol,KG,42.4907,78.3936,27.68,67,79,1.59,broken clouds
88,Castro,BR,-24.7911,-50.0119,63.03,98,100,2.62,overcast clouds
89,Auki,SB,-8.7676,160.7034,84.06,71,89,8.93,overcast clouds
90,Constitucion,CL,-35.3333,-72.4167,54.59,79,1,6.91,clear sky
91,Marand,IR,38.4329,45.7749,32.25,95,97,2.55,snow
92,Mahebourg,MU,-20.4081,57.7,82.69,78,75,8.05,broken clouds
93,Kavieng,PG,-2.5744,150.7967,83.1,72,93,8.59,moderate rain
94,Tupik,RU,54.4253,119.9327,2.98,72,98,6.06,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,60.71,61,60,6.29,broken clouds
96,Rudbar,AF,30.15,62.6,61.59,39,3,20.98,clear sky
97,Paracatu,BR,-17.2222,-46.8747,70.68,81,99,0.47,overcast clouds
98,Cartagena,CO,10.3997,-75.5144,76.62,78,0,5.75,clear sky
99,Shuya,RU,56.8487,41.3883,25.07,95,100,9.24,overcast clouds
100,Adrar,MR,20.5022,-10.0711,58.15,15,35,10.45,scattered clouds
101,Upernavik,GL,72.7868,-56.1549,-4.72,93,100,4.14,overcast clouds
102,Goedereede,NL,51.8175,3.9806,45.05,79,71,11.99,broken clouds
103,Svetlaya,RU,46.5389,138.3297,16.72,50,100,3.15,overcast clouds
104,Quatre Cocos,MU,-20.2078,57.7625,82.51,70,98,14.0,overcast clouds
105,East London,ZA,-33.0153,27.9116,70.74,88,0,5.75,clear sky
